raceId,horseNumber,actualOdds,marketWinOdds,marketPopularity,observedAt,source
202604010701,8,,3.2,1,2026-05-22T14:19:33.097Z,jra-official
202604010701,9,,4.7,2,2026-05-22T14:19:33.097Z,jra-official
202604010701,4,,4.8,3,2026-05-22T14:19:33.097Z,jra-official
202604010701,1,,7.1,4,2026-05-22T14:19:33.097Z,jra-official
202604010701,2,,11,5,2026-05-22T14:19:33.097Z,jra-official
202604010701,5,,12.3,6,2026-05-22T14:19:33.097Z,jra-official
202604010701,12,,16.2,7,2026-05-22T14:19:33.097Z,jra-official
202604010701,14,,27.5,8,2026-05-22T14:19:33.097Z,jra-official
202604010701,6,,39.1,9,2026-05-22T14:19:33.097Z,jra-official
202604010701,10,,41.9,10,2026-05-22T14:19:33.097Z,jra-official
202604010701,11,,50.7,11,2026-05-22T14:19:33.097Z,jra-official
202604010701,13,,68,12,2026-05-22T14:19:33.097Z,jra-official
202604010701,7,,69.3,13,2026-05-22T14:19:33.097Z,jra-official
202604010701,3,,78.3,14,2026-05-22T14:19:33.097Z,jra-official
202604010702,2,,1.1,1,2026-05-22T14:20:06.704Z,jra-official
202604010702,5,,8.9,2,2026-05-22T14:20:06.704Z,jra-official
202604010702,13,,18.6,3,2026-05-22T14:20:06.704Z,jra-official
202604010702,8,,18.8,4,2026-05-22T14:20:06.704Z,jra-official
202604010702,15,,18.9,5,2026-05-22T14:20:06.704Z,jra-official
202604010702,10,,32.4,6,2026-05-22T14:20:06.704Z,jra-official
202604010702,11,,52.6,7,2026-05-22T14:20:06.704Z,jra-official
202604010702,12,,74.5,8,2026-05-22T14:20:06.704Z,jra-official
202604010702,14,,77.6,9,2026-05-22T14:20:06.704Z,jra-official
202604010702,3,,80.1,10,2026-05-22T14:20:06.704Z,jra-official
202604010702,4,,81.9,11,2026-05-22T14:20:06.704Z,jra-official
202604010702,1,,111.7,12,2026-05-22T14:20:06.704Z,jra-official
202604010702,6,,131.7,13,2026-05-22T14:20:06.704Z,jra-official
202604010702,7,,147.5,14,2026-05-22T14:20:06.704Z,jra-official
202604010702,9,,189.1,15,2026-05-22T14:20:06.704Z,jra-official
202604010703,11,,4.8,1,2026-05-22T14:20:39.821Z,jra-official
202604010703,6,,5.5,2,2026-05-22T14:20:39.821Z,jra-official
202604010703,2,,6.1,3,2026-05-22T14:20:39.821Z,jra-official
202604010703,8,,6.5,4,2026-05-22T14:20:39.821Z,jra-official
202604010703,10,,11.1,5,2026-05-22T14:20:39.821Z,jra-official
202604010703,12,,11.5,6,2026-05-22T14:20:39.821Z,jra-official
202604010703,1,,13.2,7,2026-05-22T14:20:39.821Z,jra-official
202604010703,9,,14.1,8,2026-05-22T14:20:39.821Z,jra-official
202604010703,15,,16.4,9,2026-05-22T14:20:39.821Z,jra-official
202604010703,14,,21.3,10,2026-05-22T14:20:39.821Z,jra-official
202604010703,7,,24,11,2026-05-22T14:20:39.821Z,jra-official
202604010703,13,,29.8,12,2026-05-22T14:20:39.821Z,jra-official
202604010703,3,,62.5,13,2026-05-22T14:20:39.821Z,jra-official
202604010703,4,,81.6,14,2026-05-22T14:20:39.821Z,jra-official
202604010703,5,,89.4,15,2026-05-22T14:20:39.821Z,jra-official
202604010704,4,,1.8,1,2026-05-22T14:21:12.834Z,jra-official
202604010704,3,,9.2,2,2026-05-22T14:21:12.834Z,jra-official
202604010704,5,,9.9,3,2026-05-22T14:21:12.834Z,jra-official
202604010704,11,,9.9,3,2026-05-22T14:21:12.834Z,jra-official
202604010704,6,,12.8,5,2026-05-22T14:21:12.834Z,jra-official
202604010704,9,,14.1,6,2026-05-22T14:21:12.834Z,jra-official
202604010704,12,,14.1,6,2026-05-22T14:21:12.834Z,jra-official
202604010704,13,,18.4,8,2026-05-22T14:21:12.834Z,jra-official
202604010704,8,,19.3,9,2026-05-22T14:21:12.834Z,jra-official
202604010704,10,,37.4,10,2026-05-22T14:21:12.834Z,jra-official
202604010704,1,,39.3,11,2026-05-22T14:21:12.834Z,jra-official
202604010704,2,,55.6,12,2026-05-22T14:21:12.834Z,jra-official
202604010704,7,,71.3,13,2026-05-22T14:21:12.834Z,jra-official
202604010705,3,,4.9,1,2026-05-22T14:21:44.745Z,jra-official
202604010705,7,,5.4,2,2026-05-22T14:21:44.745Z,jra-official
202604010705,1,,7.9,3,2026-05-22T14:21:44.745Z,jra-official
202604010705,12,,8.4,4,2026-05-22T14:21:44.745Z,jra-official
202604010705,13,,9.5,5,2026-05-22T14:21:44.745Z,jra-official
202604010705,5,,9.9,6,2026-05-22T14:21:44.745Z,jra-official
202604010705,15,,11.2,7,2026-05-22T14:21:44.745Z,jra-official
202604010705,2,,14.4,8,2026-05-22T14:21:44.745Z,jra-official
202604010705,11,,15.3,9,2026-05-22T14:21:44.745Z,jra-official
202604010705,8,,17,10,2026-05-22T14:21:44.745Z,jra-official
202604010705,10,,28.5,11,2026-05-22T14:21:44.745Z,jra-official
202604010705,16,,28.5,11,2026-05-22T14:21:44.745Z,jra-official
202604010705,9,,52.1,13,2026-05-22T14:21:44.745Z,jra-official
202604010705,6,,53.2,14,2026-05-22T14:21:44.745Z,jra-official
202604010705,4,,64.8,15,2026-05-22T14:21:44.745Z,jra-official
202604010705,14,,149.8,16,2026-05-22T14:21:44.745Z,jra-official
202604010706,2,,3.9,1,2026-05-22T14:22:15.673Z,jra-official
202604010706,13,,5.4,2,2026-05-22T14:22:15.673Z,jra-official
202604010706,5,,5.7,3,2026-05-22T14:22:15.673Z,jra-official
202604010706,6,,6,4,2026-05-22T14:22:15.673Z,jra-official
202604010706,3,,8.9,5,2026-05-22T14:22:15.673Z,jra-official
202604010706,8,,12,6,2026-05-22T14:22:15.673Z,jra-official
202604010706,11,,13.6,7,2026-05-22T14:22:15.673Z,jra-official
202604010706,12,,24.5,8,2026-05-22T14:22:15.673Z,jra-official
202604010706,15,,30,9,2026-05-22T14:22:15.673Z,jra-official
202604010706,4,,33.2,10,2026-05-22T14:22:15.673Z,jra-official
202604010706,1,,37,11,2026-05-22T14:22:15.673Z,jra-official
202604010706,9,,46.8,12,2026-05-22T14:22:15.673Z,jra-official
202604010706,14,,49.8,13,2026-05-22T14:22:15.673Z,jra-official
202604010706,10,,53.1,14,2026-05-22T14:22:15.673Z,jra-official
202604010706,7,,69.3,15,2026-05-22T14:22:15.673Z,jra-official
202604010707,11,,3.1,1,2026-05-22T14:22:47.711Z,jra-official
202604010707,7,,5.9,2,2026-05-22T14:22:47.711Z,jra-official
202604010707,3,,6.6,3,2026-05-22T14:22:47.711Z,jra-official
202604010707,6,,6.7,4,2026-05-22T14:22:47.711Z,jra-official
202604010707,9,,11.5,5,2026-05-22T14:22:47.711Z,jra-official
202604010707,5,,11.6,6,2026-05-22T14:22:47.711Z,jra-official
202604010707,16,,19.4,7,2026-05-22T14:22:47.711Z,jra-official
202604010707,14,,20.6,8,2026-05-22T14:22:47.711Z,jra-official
202604010707,2,,22.1,9,2026-05-22T14:22:47.711Z,jra-official
202604010707,8,,28.3,10,2026-05-22T14:22:47.711Z,jra-official
202604010707,15,,35,11,2026-05-22T14:22:47.711Z,jra-official
202604010707,4,,40.4,12,2026-05-22T14:22:47.711Z,jra-official
202604010707,1,,42.6,13,2026-05-22T14:22:47.711Z,jra-official
202604010707,10,,67.7,14,2026-05-22T14:22:47.711Z,jra-official
202604010707,13,,76,15,2026-05-22T14:22:47.711Z,jra-official
202604010707,12,,115.4,16,2026-05-22T14:22:47.711Z,jra-official
202604010708,15,,1.4,1,2026-05-22T14:23:20.348Z,jra-official
202604010708,8,,11.9,2,2026-05-22T14:23:20.348Z,jra-official
202604010708,11,,13.4,3,2026-05-22T14:23:20.348Z,jra-official
202604010708,13,,15.5,4,2026-05-22T14:23:20.348Z,jra-official
202604010708,10,,17,5,2026-05-22T14:23:20.348Z,jra-official
202604010708,1,,17.4,6,2026-05-22T14:23:20.348Z,jra-official
202604010708,5,,24.9,7,2026-05-22T14:23:20.348Z,jra-official
202604010708,2,,28.4,8,2026-05-22T14:23:20.348Z,jra-official
202604010708,3,,28.4,8,2026-05-22T14:23:20.348Z,jra-official
202604010708,7,,44.4,10,2026-05-22T14:23:20.348Z,jra-official
202604010708,6,,47.3,11,2026-05-22T14:23:20.348Z,jra-official
202604010708,14,,49.9,12,2026-05-22T14:23:20.348Z,jra-official
202604010708,12,,69.1,13,2026-05-22T14:23:20.348Z,jra-official
202604010708,9,,89.8,14,2026-05-22T14:23:20.348Z,jra-official
202604010708,4,,102.1,15,2026-05-22T14:23:20.348Z,jra-official
202604010709,3,,2.4,1,2026-05-22T14:23:52.671Z,jra-official
202604010709,14,,5.7,2,2026-05-22T14:23:52.671Z,jra-official
